pmid,year,score,n_chunks,title
40448798,2025,0.6565,2,Systematic Evaluation of Australian Risk Management Plans for Biologic Medicines.
40434632,2025,0.5502,3,Predictive Models for Identifying Adult Patients at High Risk of Developing Opioid-Related Harms: a Systematic Review.
40392520,2025,0.5333,3,The Role of Adverse Event Follow-Up in Advancing the Knowledge of Medicines and Vaccines Safety: A Scoping Review.
40383741,2025,0.5082,2,"Risk of New-Onset Atrial Fibrillation in Opioid Users: A Systematic Review and Meta-Analysis on 24,006,367 Participants."
40374964,2025,0.5019,2,Evaluation of Data Quality and Utility of the Japan Drug Information Institute in Pregnancy (JDIIP) Consultation Case Database for Pregnancy Pharmacovigilance.
40347221,2025,0.4309,3,Incretin-Based Drugs and the Incidence of Endometrial Cancer Among People with Type 2 Diabetes: Active Comparator New-User Design.
40287571,2025,0.3997,2,Impact of Batoclimab Treatment on LDL-C with and Without Coadministration of Atorvastatin: Results from a Phase I Randomized Study in Healthy Participants.
40272756,2025,0.3770,2,A Mixed-Methods Evaluation to Identify Industry Knowledge Needs and Challenges in Health Product Defect and Recall Reporting in Singapore.
40261506,2025,0.4440,2,A Drug Similarity-Based Bayesian Method for Early Adverse Drug Event Detection.
40238055,2025,0.2519,2,Signal Monitoring for Adverse Events Following Immunisation with COVID-19 Vaccines During the SARS-CoV-2 Pandemic: An Evaluation of the South African Surveillance System.
40232585,2025,0.3874,2,Investigating Risk of Cancer with Sodium-Glucose Cotransporter 2 Inhibitors: A Disproportionality Analysis in the WHO Global Pharmacovigilance Database Vigibase®.
40223041,2025,0.2362,1,Interplay of Spontaneous Reporting and Longitudinal Healthcare Databases for Signal Management: Position Statement from the Real-World Evidence and Big Data Special Interest Group of the International Society of Pharmacovigilance.
40208555,2025,0.5289,2,Risk Minimisation Measures of Advanced Therapy Medicinal Products Authorised in the EU Between 2009 and 2023: A Cross-Sectional Study.
40205137,2025,0.4366,2,Evaluation of Mortality in Users of Pimavanserin Compared with Other Atypical Antipsychotics in Patients with Parkinson's Disease Psychosis: An Update.
40178787,2025,0.5097,2,IQ DILI Consensus Opinion: Best Practices for Rechallenge Following Suspected Drug-Induced Liver Injury in Clinical Trials.
40121611,2025,0.3838,2,Major Adverse Cardiovascular Events Related to JAK Inhibitors: A Disproportionality Analysis Using the WHO Global Individual Case Safety Database.
40108072,2025,0.3839,3,Mitigation and Management of Common Toxicities Associated with the Administration of CAR-T Therapies in Oncology Patients.
40106171,2025,0.3433,3,Pregnancy and Infant Outcomes in Women with Multiple Sclerosis Exposed to Glatiramer Acetate Therapy: An Extended 4-Year Safety Update.
40088342,2025,0.1580,2,Narrative Search Engine for Case Series Assessment Supported by Artificial Intelligence Query Suggestions.
40088341,2025,0.3742,2,"QT Interval, Antipsychotics and Correlates Among Patients with Schizophrenia: Cross-Sectional Data from the Multicentric Real-World FACE-SZ."
40075034,2025,0.5393,3,Evidence-Based Design of Prescription Medication Information: An Updated Scoping Review.
40075033,2025,0.7415,2,"Navigating Diverging Perspectives: Reasoning, Evidence, and Decision-Making in Drug Safety."
40075032,2025,0.3149,2,Off-the-Shelf Large Language Models for Causality Assessment of Individual Case Safety Reports: A Proof-of-Concept with COVID-19 Vaccines.
40075031,2025,0.4801,2,Using Mixed Methods to Evaluate Risk Minimisation Programs in Europe and the USA: An Innovative Blueprint.
40072769,2025,0.4809,3,The Frequency of Drug-Induced Liver Injury Due to Antibiotics Among Hospitalised Patients.
40056291,2025,0.2782,2,Might We Come Together on a Paradigm Shift to Manage ICSRs with a Decentralized Data Model?
40032797,2025,0.3106,3,Opinion Mining of Erowid's Experience Reports on LSD and Psilocybin-Containing Mushrooms.
40024970,2025,0.6201,3,Understanding the Work of the Pharmacovigilance Risk Assessment Committee (PRAC): A Quantitative Review of the Post-Authorisation Safety Evaluation of Antidiabetic Drugs from 2012 to 2022.
39987538,2025,0.4791,3,Stakeholders' Perspectives Toward the Use of Patient Registry Data for Decision-Making on Medicines: A Cross-Sectional Survey.
39987376,2025,0.5285,3,Are Causal Statements Reported in Pharmacovigilance Disproportionality Analyses Using Individual Case Safety Reports Exaggerated in Related Citations? A Meta-epidemiological Study.
39982676,2025,0.4018,2,Effectiveness of Transformer-Based Large Language Models in Identifying Adverse Drug Reaction Relations from Unstructured Discharge Summaries in Singapore.
39979771,2025,0.4892,2,"Leveraging FDA Labeling Documents and Large Language Model to Enhance Annotation, Profiling, and Classification of Drug Adverse Events with AskFDALabel."
39976874,2025,0.5481,2,Pharmacogenetic Testing in the Outpatient Setting in Switzerland: A Descriptive Study Using Swiss Claims Data.
39953273,2025,0.5087,1,Aggregation of Adverse Event Terms for Signal Detection and Labeling in Clinical Trials.
39939518,2025,0.5618,3,Assessment of Pharmacovigilance Across University Hospitals in Morocco.
39934585,2025,0.4108,2,Risk of Fracture Associated with Pregabalin or Mirogabalin Use: A Case-Case-Time-Control Study Based on Japanese Health Insurance Claims Data.
39932652,2025,0.4789,2,Emerging Tools to Support DILI Assessment in Clinical Trials with Abnormal Baseline Serum Liver Tests or Pre-existing Liver Diseases.
39921708,2025,0.4219,1,Drug Induced Liver Injury: Highlights and Controversies in the 2023 Literature.
39921707,2025,0.4948,2,OpenPVSignal Knowledge Graph: Pharmacovigilance Signal Reports in a Computationally Exploitable FAIR Representation.
39918677,2025,0.4214,3,Network Analysis and Machine Learning for Signal Detection and Prioritization Using Electronic Healthcare Records and Administrative Databases: A Proof of Concept in Drug-Induced Acute Myocardial Infarction.
39913070,2025,0.4307,2,"A Longitudinal Post-authorization Safety Study of Golimumab in Treatment of Ulcerative Colitis: A Cohort Study in Denmark and Sweden, 2013-2021."
39907983,2025,0.5628,2,"Delphi Method Consensus on Statistical Analysis and Reporting Recommendations for Single-Arm Pregnancy Medication Safety Studies Investigating Pregnancy, Birth and Neonatal Health Outcomes: A Contribution from IMI-ConcePTION."
39873899,2025,0.4625,2,Antiretroviral Use for HIV Prevention During Pregnancy: The Need to Strengthen Regulatory and Surveillance Systems in Africa.
39869300,2025,0.6307,2,Sequential Epidemiological Analyses of Real-World Data: A Tool for Prospective Drug Safety Surveillance from the Rofecoxib Example.
39843797,2025,0.3549,3,Empowering African Expertise: Enhancing Safety Data Integration and Signal Detection for COVID-19 Vaccines Through the African Union Smart Safety Surveillance Joint Signal Management Group.
39833656,2025,0.4706,3,Clinical Relatedness and Stability of vigiVec Semantic Vector Representations of Adverse Events and Drugs in Pharmacovigilance.
39786481,2025,0.5393,2,Leveraging Natural Language Processing and Machine Learning Methods for Adverse Drug Event Detection in Electronic Health/Medical Records: A Scoping Review.
39718691,2025,0.4749,2,Drug-Induced Cognitive Impairment.
39688763,2025,0.6110,2,Use of Reporting Recommendation Intended for Pharmaceutical Risk Minimisation Evaluation Studies (RIMES) Checklist in Risk Minimisation/Mitigation Studies: A Review and Survey.
39666166,2025,0.3517,3,Post-licensure Safety Surveillance of 20-Valent Pneumococcal Conjugate Vaccine (PCV20) Among US Adults in the Vaccine Adverse Event Reporting System (VAERS).
39666165,2025,0.4272,2,Prenatal and Early Childhood Exposure to Proton Pump Inhibitors and Antibiotics and the Risk of Childhood Cancer: A Nationwide Population-Based Cohort Study.
39661234,2025,0.0941,2,Performance and Reproducibility of Large Language Models in Named Entity Recognition: Considerations for the Use in Controlled Environments.
39645619,2025,0.4047,2,Trends in Proton Pump Inhibitor Use in Sweden by Sex and Age: A Drug Utilisation Study.
39638989,2025,0.3624,2,Early Detection of Hearing Impairment Signals Post-mRNA COVID-19 Vaccination: A Disproportionality Analysis Study on French Pharmacovigilance Database.
39630354,2025,0.3567,2,Prenatal Exposure to Proton Pump Inhibitors and Risk of Serious Infections in Offspring During the First Year of Life: A Nationwide Cohort Study.
39621298,2025,0.5338,2,Adverse Drug Events in Ambulatory Care: A Cross-Sectional Study.
39604587,2025,0.5063,3,Fracture-Related Safety Reporting of JAK Inhibitors: An Analysis from the WHO Global VigiBase.
39570566,2025,0.5367,2,Challenges in the Implementation of EU Risk Minimisation Measures for Medicinal Products in Clinical Practice Guidelines: Mixed Methods Multi-Case Study.
39514152,2025,0.5407,4,"Signals of Possibly Persistent Gustatory, Olfactory and Auditory Adverse Drug Reactions to Antibiotic Drugs: A Disproportionality Analysis Using the EudraVigilance Database."
39499480,2025,0.5462,2,Teratogenic Risk Impact and Mitigation (TRIM): Study Protocol for the Development of a Decision Support Tool to Prioritize Medications for Risk Mitigation.
39487335,2025,0.4881,2,Views on the Development and Use of a New Digital Adverse Drug Event Reporting Platform in Australia: A Qualitative Study.
39354283,2025,0.5100,2,Investigation of the Role of Chemical Analysis in Causality Assessment of Herbal and Dietary Supplement-Induced Liver Injury.
39331228,2025,0.4712,1,Safeguarding Patients in the AI Era: Ethics at the Forefront of Pharmacovigilance.
39327387,2025,0.5395,2,An Integrated Approach for Representing Knowledge on the Potential of Drugs to Cause Acute Kidney Injury.
39317916,2025,0.5085,3,Incidence of Idiosyncratic Drug-Induced Liver Injury Caused by Prescription Drugs.
39302513,2025,0.5040,2,The Use of Multiple Medications During Pregnancy Among an Ethnically Diverse Population in South-Eastern Melbourne: A Retrospective Analysis to Explore Potential Risks and Complications.
39300043,2025,0.6403,5,Disproportionality Analysis and Characterisation of Medication Errors in EudraVigilance: Exploring Findings on Sexes and Age Groups.
39292423,2025,0.5092,3,Pharmacovigilance in the Age of Legalized Cannabis: Using Social Media to Monitor Drug-Drug Interactions Between Immunosuppressants and Cannabis-Derived Products.
39289314,2025,0.3011,1,Drug-Induced Hypouricemia.
39266812,2025,0.6550,2,Qualitative Interviews with Stakeholders in Herbal Pharmacovigilance and Recommendations for Best Practices to be Applied Worldwide.
39264483,2024,0.3740,2,Emergency Department Use of Heart Failure-Exacerbating Medications in Patients with Chronic Heart Failure.
39227560,2025,0.4340,2,Cardiovascular Safety of Romosozumab Compared to Commonly Used Anti-osteoporosis Medications in Postmenopausal Osteoporosis: A Systematic Review and Network Meta-analysis of Randomized Controlled Trials.
39222216,2024,0.5452,2,"Paracetamol Dosing Errors in People Aged 12 Years and Over: An Analysis of Over 14,000 Cases Reported to an Australian Poisons Information Centre."
39214955,2025,0.5251,3,Comparative Effectiveness and Safety of Off-Label Underdosed Direct Oral Anticoagulants in Asian Patients with Atrial Fibrillation: A Systematic Review and Meta-analysis.
39162987,2024,0.4423,2,"Short-Term Training, a Useful Approach for Sustainable Pharmacovigilance Knowledge Development in Tanzania, Kenya, Ethiopia and Rwanda."
39160354,2024,0.6037,2,A Comparison of Active Pharmacovigilance Strategies Used to Monitor Adverse Events to Antiviral Agents: A Systematic Review.
39154117,2025,0.4601,2,Caveats of Covariate Adjustment in Disproportionality Analysis for Best Practices.
39147961,2024,0.4151,3,Unveiling the Burden of Drug-Induced Impulsivity: A Network Analysis of the FDA Adverse Event Reporting System.
39102176,2024,0.3648,2,Examining the Effect of Missing Data and Unmeasured Confounding on External Comparator Studies: Case Studies and Simulations.
39093543,2024,0.5012,2,The Methodological Quality of Observational Studies Examining the Risk of Pregnancy Drug Use on Congenital Malformations Needs Substantial Improvement: A Cross-Sectional Survey.
39085589,2024,0.4649,2,"Description and Validation of a Novel AI Tool, LabelComp, for the Identification of Adverse Event Changes in FDA Labeling."
39068268,2024,0.3709,4,Acute Appendicitis After COVID-19 Vaccines in Italy: A Self-Controlled Case Series Study.
39030460,2024,0.4445,2,The PrescIT platform: An interoperable Clinical Decision Support System for ePrescription to Prevent Adverse Drug Reactions and Drug-Drug Interactions.
39012469,2024,0.5994,4,"A Systematic Overview of Contraindications and Special Warnings for Biologic and Targeted Synthetic Disease Modifying Antirheumatic Drugs: Establishing a Framework to Create a ""Safety Checklist""."
39009928,2024,0.3195,4,Safety and Effectiveness of COVID-19 Vaccines During Pregnancy: A Living Systematic Review and Meta-analysis.
39008024,2024,0.4286,2,Pregnancy Outcomes in Patients Treated with Upadacitinib: Analysis of Data from Clinical Trials and Postmarketing Reports.
38990488,2024,0.4944,1,Adopting STOPP/START Criteria Version 3 in Clinical Practice: A Q&A Guide for Healthcare Professionals.
38987419,2024,0.5423,1,The STAR Compass to Guide Future Pharmacovigilance Based on a 10-Year Review of the Strengthened EU System.
38982034,2024,0.3222,2,Optimal Significance Levels and Sample Sizes for Signal Detection Methods Based on Non-constant Hazards.
38982033,2024,0.4015,3,A Calculated Risk: Evaluation of QTc Drug-Drug Interaction (DDI) Clinical Decision Support (CDS) Alerts and Performance of the Tisdale Risk Score Calculator.
38949714,2024,0.4352,2,"Enhanced Safety Surveillance of GSK's Inactivated Quadrivalent Seasonal Influenza Vaccine in Belgium, Germany, and Spain During the 2022/2023 Influenza Season."
38940904,2024,0.3026,1,Use of the Sentinel System to Examine Medical Product Use and Outcomes During Pregnancy.
38916712,2024,0.2865,3,Real-World Effectiveness and Safety of Tixagevimab-Cilgavimab: A Target Trial Emulation Study.
38907947,2024,0.3689,4,"What is the Safety of COVID-19 Vaccines in Immunocompromised Patients? Results from the European ""Covid Vaccine Monitor"" Active Surveillance Study."
38907172,2024,0.4715,3,"Pharmacovigilance in Pregnancy Studies, Exposures and Outcomes Ascertainment, and Findings from Low- and Middle-Income Countries: A Scoping Review."
38896215,2024,0.4531,2,Identification of Pregnancy Adverse Drug Reactions in Pharmacovigilance Reporting Systems: A Novel Algorithm Developed in EudraVigilance.
38862692,2024,0.3343,2,Tardive Dyskinesia with Antipsychotic Medication in Children and Adolescents: A Systematic Literature Review.
38824267,2024,0.3618,3,Key Opinion Leaders' Interviews to Inform the Future of Benefit-Risk Planning in the Medical Total Product Life Cycle of Global Pharmaceutical and Medical Device Organizations.
38822943,2024,0.3464,3,Targeting CCL24 in Inflammatory and Fibrotic Diseases: Rationale and Results from Three CM-101 Phase 1 Studies.
38755509,2024,0.4113,2,"Trends in Use and Evidence of Adherence to Risk Evaluation and Mitigation Strategy Pregnancy Testing Requirements for Thalidomide, Lenalidomide, and Pomalidomide in the USA, 2000-2020."
38739234,2024,0.4947,2,Predictors of Adverse Drug Reaction-Related Hospitalisations Among People with Dementia: A Retrospective Case-Control Study.
38739233,2024,0.3222,2,Post-Conceptional Exposure to Clomiphene Citrate and Congenital Malformations: A Cohort Study.
38727875,2024,0.3230,3,Use of Sotrovimab in Pregnancy: Experiences from the COVID-19 International Drug Pregnancy Registry.
38722482,2024,0.5190,2,Risk of Mortality Associated with Potentially Inappropriate Medication Use Including Opioids in Older Adults.
38722481,2024,0.4839,3,Antipsychotic-Related DRESS Syndrome: Analysis of Individual Case Safety Reports of the WHO Pharmacovigilance Database.
38720114,2024,0.3934,2,Dipeptidyl Peptidase-4 Inhibitors and the Risk of Gallbladder and Bile Duct Disease Among Patients with Type 2 Diabetes: A Population-Based Cohort Study.
38713347,2024,0.7159,1,The REporting of A Disproportionality Analysis for DrUg Safety Signal Detection Using Individual Case Safety Reports in PharmacoVigilance (READUS-PV): Explanation and Elaboration.
38713346,2024,0.6970,2,The Reporting of a Disproportionality Analysis for Drug Safety Signal Detection Using Individual Case Safety Reports in PharmacoVigilance (READUS-PV): Development and Statement.
38703312,2024,0.5623,2,Comparators in Pharmacovigilance: A Quasi-Quantification Bias Analysis.
38691321,2024,0.4295,2,Competing Benefits and Competing Hazards: The Benefit to Harm Balance in Individual Patients in Rational Therapeutics.
38689136,2024,0.4302,3,"The Safety of Ixekizumab in Chinese Adults with Moderate-to-Severe Plaque Psoriasis: Analyses from a Prospective, Single-Arm, Multicenter, 12-Week Observational Study."
38687463,2024,0.4613,2,Timing Matters: A Machine Learning Method for the Prioritization of Drug-Drug Interactions Through Signal Detection in the FDA Adverse Event Reporting System and Their Relationship with Time of Co-exposure.
38642292,2024,0.4277,2,Composite Plot for Visualizing Aminotransferase and Bilirubin Changes in Clinical Trials of Subjects with Abnormal Baseline Values.
38607521,2024,0.4226,2,COVID-19 Vaccines and Heavy Menstrual Bleeding: The Impact of Media Attention on Reporting to EudraVigilance.
38607520,2024,0.4188,2,Enzalutamide: Understanding and Managing Drug Interactions to Improve Patient Safety and Drug Efficacy.
38594553,2024,0.6003,2,Behavioral Science: Enhancing Our Approach to the Development of Effective Additional Risk Minimization Strategies.
38592665,2024,0.4135,2,Lessons Learned on Observed-to-Expected Analysis Using Spontaneous Reports During Mass Vaccination.
38536627,2024,0.4577,2,Fatal Intoxications with Zopiclone-A Cause for Concern?
38512445,2024,0.5789,2,Angiotensin Receptor Blockers and the Risk of Suspected Drug-Induced Liver Injury: A Retrospective Cohort Study Using Electronic Health Record-Based Common Data Model in South Korea.
38492173,2024,0.2473,1,The Role of Mitochondria in Statin-Induced Myopathy.
38483769,2024,0.3168,1,The Problems with Online Health Product Sales: How can Regulations be Improved?
38483768,2024,0.5491,2,The Role of Pharmacogenomics in Rare Diseases.
38483767,2024,0.3417,2,"An 8-Year Prospective, Observational, Multi-centre Post-Marketing Safety Surveillance Study Conducted in South Korea (2014-2022) Following the Introduction of GSK's Inactivated Quadrivalent Seasonal Influenza Vaccine (Fluarix Tetra) for Subjects Aged 6 Months and Older."
38478350,2024,0.5976,2,The Reporting Recommendations Intended for Pharmaceutical Risk Minimization Evaluation Studies: Standards for Reporting of Implementation Studies Extension (RIMES-SE).
38478349,2024,0.5871,2,Drug-Drug Interactions and Actual Harm to Hospitalized Patients: A Multicentre Study Examining the Prevalence Pre- and Post-Electronic Medication System Implementation.
38460070,2024,0.4659,3,Drug-Gene Risk Stratification in Patients with Suspected Drug-Induced Interstitial Lung Disease.
38446405,2024,0.4591,2,Using Social Media as a Source of Real-World Data for Pharmaceutical Drug Development and Regulatory Decision Making.
38443625,2024,0.5538,2,Risk Factors Associated with Medication Administration Errors in Children: A Prospective Direct Observational Study of Paediatric Inpatients.
38441749,2024,0.3629,2,Risk of Systemic Inflammatory Response Syndrome Following Preoperative Glucocorticoids Administration in Patients After Percutaneous Nephrolithotomy: A Retrospective Cohort Study.
38411838,2024,0.3358,2,Safety of Simultaneous Administration of Bivalent mRNA COVID-19 and Influenza Vaccines in the Vaccine Adverse Event Reporting System (VAERS).
38409516,2024,0.3753,2,In Utero Exposure to Antibiotics and Risk of Serious Infections in the First Year of Life.
38401041,2024,0.4209,3,A Comparison of Signals of Designated Medical Events and Non-designated Medical Events: Results from a Scoping Review.
38396269,2024,0.4227,2,The Role of the European Medicines Agency in the Safety Monitoring of COVID-19 Vaccines and Future Directions in Enhancing Vaccine Safety Globally.
38388828,2024,0.3901,1,Detection Algorithms for Simple Two-Group Comparisons Using Spontaneous Reporting Systems.
38353884,2024,0.3424,2,Tacrolimus-Induced Neurotoxicity After Transplant: A Literature Review.
38353883,2024,0.5348,3,Sociodemographic Characteristics of Adverse Event Reporting in the USA: An Ecologic Study.
38353882,2024,0.2984,2,"Consensus Guidelines: Best Practices for the Prevention, Detection and Management of Hepatitis B Virus Reactivation in Clinical Trials with Immunosuppressive/Immunomodulatory Therapy."
38321317,2024,0.4938,4,Drug-Induced Progressive Multifocal Leukoencephalopathy (PML): A Systematic Review and Meta-Analysis.
38308152,2024,0.5991,2,Exploring the Role of Guidelines in Contributing to Medication Errors: A Descriptive Analysis of National Patient Safety Incident Data.
38273155,2024,0.4947,3,Drug-Drug Interactions Between Glucagon-Like Peptide 1 Receptor Agonists and Oral Medications: A Systematic Review.
38217833,2024,0.4819,2,Drug-Induced Liver Injury in the Elderly: Consensus Statements and Recommendations from the IQ-DILI Initiative.
38183608,2024,0.5426,2,Validation of a Novel Method to Assess the Clinical Quality of Information in Pregnancy-Related Pharmacovigilance Case Reports: A ConcePTION Project.
38175395,2024,0.5556,2,Enhancing Transparency in Defining Studied Drugs: The Open-Source Living DiAna Dictionary for Standardizing Drug Names in the FAERS.
38141156,2024,0.5021,3,Risk of Major Bleeding Associated with Concomitant Direct-Acting Oral Anticoagulant and Clopidogrel Use: A Retrospective Cohort Study.
38133735,2024,0.5859,2,International Trends in Adverse Drug Event-Related Mortality from 2001 to 2019: An Analysis of the World Health Organization Mortality Database from 54 Countries.
38114757,2024,0.4180,3,"Improving Data Collection in Pregnancy Safety Studies: Towards Standardisation of Data Elements in Pregnancy Reports from Public and Private Partners, A Contribution from the ConcePTION Project."
38113017,2024,0.5126,2,"The Critical Intersect of Regulations, Health Technology Assessment, and Drug Safety Assessments."
38093083,2024,0.5260,3,Implementation of a Taxonomy-Based Framework for the Selection of Appropriate Drugs and Outcomes for Real-World Data Signal Detection Studies.
38085500,2024,0.2622,2,Effectiveness and Respiratory Adverse Events Following Inactivated and mRNA COVID-19 Vaccines in Patients with COPD and Asthma: A Chinese Population-Based Study.
38082120,2024,0.6488,1,Promoting Collaboration of Regulators and Patients in Improving Drug Safety and Regulatory Decision Making.
38070101,2024,0.4574,2,SGLT2 Inhibitor Use and Risk of Breast Cancer Among Adult Women with Type 2 Diabetes.
38062261,2024,0.2993,2,"Optimizing Signal Management in a Vaccine Adverse Event Reporting System: A Proof-of-Concept with COVID-19 Vaccines Using Signs, Symptoms, and Natural Language Processing."
38019365,2024,0.4561,2,The Unseen Hand: AI-Based Prescribing Decision Support Tools and the Evaluation of Drug Safety and Effectiveness.
38007401,2024,0.6543,2,An Overview of Regression Models for Adverse Events Analysis.
37996777,2024,0.5204,2,A Descriptive Analysis of Adverse Event Reports from the Quebec Cannabis Registry.
37995049,2024,0.5100,2,Patient-Reported Reasons for Antihypertensive Medication Change: A Quantitative Study Using Social Media.
37995048,2024,0.3714,2,Chronic Obstructive Pulmonary Disease Adverse Event Signals Associated with Potential Inhibitors of Glutathione Peroxidase 1: A Sequence Symmetry Analysis.
37987966,2023,0.5608,3,"Comparative Analysis of Information Provided in German Adverse Drug Reaction Reports Sent by Physicians, Pharmacists and Consumers."
37973785,2024,0.5767,2,Cognitive Safety is Largely Ignored in Clinical Drug Trials: A Study of Registered Study Protocols.
37973784,2024,0.4640,2,The COVID-19 International Drug Pregnancy Registry (COVID-PR): Protocol Considerations.
37966696,2024,0.4389,2,Enhancing Pharmacovigilance in Côte d'Ivoire: Impact of GSK's Training and Mentoring Pilot Project in the Abidjan Region.
37938539,2024,0.3578,2,Validation of a Natural Language Machine Learning Model for Safety Literature Surveillance.
37935996,2024,0.5271,2,Application of an Innovative Data Mining Approach Towards Safe Polypharmacy Practice in Older Adults.
37934397,2023,0.3495,2,Pulmonary Toxicity Associated with Immune Checkpoint Inhibitors-Based Therapy: Current Perspectives and Future Directions.
37926785,2023,0.5122,3,Impact of Covid-19 Vaccination on Spontaneous Pharmacovigilance Reporting in France.
37907775,2023,0.4901,3,Drug Utilisation Patterns of Alternatives to Ranitidine-Containing Medicines in Patients Treated with Ranitidine: A Network Analysis of Data from Six European National Databases.
37906417,2024,0.4701,5,Long-Term Safety of Guselkumab in Patients with Psoriatic Disease: An Integrated Analysis of Eleven Phase II/III Clinical Studies in Psoriasis and Psoriatic Arthritis.
37902937,2023,0.6933,3,Long-Term Real-World Post-approval Safety Data of Multiple Biosimilars from One Marketing-Authorization Holder After More than 18 Years Since Their First Biosimilar Launch.
37889401,2024,0.4994,2,Intravenous Medication Administration Safety with Smart Infusion Pumps in the Neonatal Intensive Care Unit: An Observational Study.
37882905,2023,0.3175,2,"The Effect of Sex on the Incidence, Latency, Duration and Perceived Burden of Adverse Events Following Seasonal Influenza Vaccination in the Netherlands."
37874451,2024,0.5968,2,Industry Review of Best Practices for Risk Management of Drug-Induced Liver Injury from Development to Real-World Use.
37843760,2023,0.3519,2,Levothyroxine Treatment Among Pregnant Women and Risk of Seizure in Children: A Population-Based Cohort Study.
37824028,2023,0.5495,2,Adverse Drug Reactions to Opioids: A Study in a National Pharmacovigilance Database.
37819463,2023,0.6302,2,A Multi-method Exploratory Evaluation of a Service Designed to Improve Medication Safety for Patients with Monitored Dosage Systems Following Hospital Discharge.
37804398,2023,0.4641,2,Supporting Pharmacovigilance Signal Validation and Prioritization with Analyses of Routinely Collected Health Data: Lessons Learned from an EHDEN Network Study.
37783974,2023,0.5814,2,Sharing Adverse Drug Event Reports Between Hospitals and Community Pharmacists to Inform Re-dispensing: An Analysis of Reports and Process Outcomes.
37782373,2023,0.3678,3,"Association of Strict Versus Lenient Cholesterol Lowering with Cardiac Outcomes, Diabetes Progression and Complications, and Mortality in Patients with Diabetes Treated with Statins: Is Less More?"
37776421,2023,0.4271,2,Automated Classification of Quality Defect Issues Relating to Substandard Medicines Using a Hybrid Machine Learning and Rule-Based Approach.
37773567,2023,0.3012,2,Development and Application of a Data-Driven Signal Detection Method for Surveillance of Adverse Event Variability Across Manufacturing Lots of Biologics.
37707778,2023,0.4002,4,An Exploratory Study of the Impact of COVID-19 Vaccine Spontaneous Reporting on Masking Signal Detection in EudraVigilance.
37700154,2023,0.4859,3,Real-World Safety and Efficacy of Biosimilar CT-P13 in Patients with Immune-Mediated Inflammatory Diseases: Integrated Analysis of Three Japanese Prospective Observational Studies.
